SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,5810 Mission St #409,San Francisco,CA,94112,819000,2,2.0,San Francisco,1125,20261,1998,17,728,659,Active,September-5-2021 02:00 PM,September-5-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/5810-Mission-St-94112/unit-409/home/1321517,San Francisco MLS,421585265,N,Y,37.7095133,-122.4515186
MLS Listing,,Condo/Co-op,346 1st St #109,San Francisco,CA,94105,995000,2,2.0,San Francisco,1059,9938,1928,17,940,623,Active,,,http://www.redfin.com/CA/San-Francisco/346-1st-St-94105/unit-109/home/1971038,San Francisco MLS,421585767,N,Y,37.786486,-122.3940253
MLS Listing,,Single Family Residential,1910 Palou Ave,San Francisco,CA,94124,998000,5,5.0,San Francisco,3206,2495,1900,17,311,,Active,September-4-2021 02:00 PM,September-4-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1910-Palou-Ave-94124/home/745243,San Francisco MLS,421585753,N,Y,37.737507,-122.396598
MLS Listing,,Condo/Co-op,1360 Montgomery St #11,San Francisco,CA,94133,3499000,2,2.0,San Francisco,1550,,1936,17,2257,1172,Active,,,http://www.redfin.com/CA/San-Francisco/1360-Montgomery-St-94133/unit-11/home/1466173,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40963423,N,Y,37.8017784,-122.4044008
MLS Listing,,Condo/Co-op,1979 Clay St,San Francisco,CA,94109,2700000,4,3.0,San Francisco,2718,3661,1938,18,993,475,Active,September-5-2021 02:00 PM,September-5-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1979-Clay-St-94109/home/1585202,San Francisco MLS,421578001,N,Y,37.791545,-122.425483
MLS Listing,,Condo/Co-op,170 Pacific St #19,San Francisco,CA,94111,2198000,3,3.0,San Francisco,1993,89586,1986,18,1103,1178,Active,,,http://www.redfin.com/CA/San-Francisco/170-Pacific-Ave-94111/unit-19/home/102819197,San Francisco MLS,421584309,N,Y,37.798253,-122.399172
MLS Listing,,Condo/Co-op,490 Connecticut St #5,San Francisco,CA,94107,498000,0,1.0,San Francisco,,3746,1940,18,,160,Active,September-4-2021 02:00 PM,September-4-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/490-Connecticut-St-94107/unit-5/home/176132169,San Francisco MLS,421585609,N,Y,37.760116,-122.3974807
MLS Listing,,Condo/Co-op,490 Connecticut St #4,San Francisco,CA,94107,798000,1,1.0,San Francisco,,3746,1940,18,,300,Active,,,http://www.redfin.com/CA/San-Francisco/490-Connecticut-St-94107/unit-4/home/176132168,San Francisco MLS,421585508,N,Y,37.760116,-122.3974807
MLS Listing,,Condo/Co-op,195 7th St #102,San Francisco,CA,94103,455000,0,1.0,San Francisco,364,4500,,18,1250,395,Active,,,http://www.redfin.com/CA/San-Francisco/195-7th-St-94103/unit-102/home/719094,San Francisco MLS,421585586,N,Y,37.7783013,-122.4094944
MLS Listing,,Multi-Family (5+ Unit),2565 Washington St,San Francisco,CA,94115,3625000,6,6.0,San Francisco,6198,3188,1915,18,585,,Active,,,http://www.redfin.com/CA/San-Francisco/2565-Washington-St-94115/home/1331335,San Francisco MLS,421583879,N,Y,37.7913488,-122.4353921
MLS Listing,,Condo/Co-op,1960 Broadway #5,San Francisco,CA,94109,4500000,3,3.0,San Francisco,2794,16839,1925,18,1611,3263,Active,,,http://www.redfin.com/CA/San-Francisco/1960-Broadway-94109/unit-005/home/12400820,San Francisco MLS,421529235,N,Y,37.795316,-122.42946
MLS Listing,,Multi-Family (5+ Unit),325 - 375 Castro St,San Francisco,CA,94114,2500000,0,,San Francisco,3300,1812,1900,18,758,,Active,,,http://www.redfin.com/CA/San-Francisco/325-Castro-St-94114/unit-375/home/146964607,San Francisco MLS,421585036,N,Y,37.7633604,-122.4350677
MLS Listing,,Condo/Co-op,301 Mission St Unit 19G,San Francisco,CA,94105,1750000,2,2.0,San Francisco,1246,50667,2009,18,1404,1665,Active,,,http://www.redfin.com/CA/San-Francisco/301-Mission-St-94105/unit-19G/home/40138808,San Francisco MLS,421584304,N,Y,37.7903824,-122.3961531
MLS Listing,,Single Family Residential,1308 Anza St,San Francisco,CA,94118,1350000,2,2.0,San Francisco,1450,1875,1909,18,931,,Active,,,http://www.redfin.com/CA/San-Francisco/1308-Anza-St-94118/home/614933,San Francisco MLS,421580218,N,Y,37.7793821,-122.4623038
MLS Listing,,Single Family Residential,2250 Jackson St,San Francisco,CA,94115,8500000,4,3.5,San Francisco,3966,3510,1881,18,2143,,Active,September-4-2021 02:00 PM,September-4-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/2250-Jackson-St-94115/unit-4/home/1594584,San Francisco MLS,421578589,N,Y,37.7930198,-122.4321816
MLS Listing,,Single Family Residential,2150 33rd Ave,San Francisco,CA,94116,1795000,4,3.0,San Francisco,2409,2996,1936,19,745,,Active,September-5-2021 02:00 PM,September-5-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/2150-33rd-Ave-94116/home/651560,San Francisco MLS,421583667,N,Y,37.7470421,-122.4907466
MLS Listing,,Multi-Family (2-4 Unit),128 Parker Ave,San Francisco,CA,94118,2650000,6,5.0,San Francisco,3336,2648,1966,19,794,,Active,,,http://www.redfin.com/CA/San-Francisco/128-Parker-Ave-94118/home/591555,San Francisco MLS,421580697,N,Y,37.7834016,-122.4542506
MLS Listing,,Multi-Family (2-4 Unit),716 Ashbury St,San Francisco,CA,94117,3750000,5,3.0,San Francisco,4304,4000,1904,19,871,,Active,September-4-2021 02:00 PM,September-4-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/716-Ashbury-St-94117/home/1899247,San Francisco MLS,421578794,N,Y,37.7684621,-122.4463244
MLS Listing,,Multi-Family (2-4 Unit),927 - 929 Union St,San Francisco,CA,94133,2550000,4,2.0,San Francisco,2760,1920,1908,19,924,,Active,,,http://www.redfin.com/CA/San-Francisco/927-Union-St-94133/home/541450,San Francisco MLS,421580560,N,Y,37.799572,-122.4146195
MLS Listing,,Multi-Family (2-4 Unit),1215 Broadway Ave,San Francisco,CA,94109,2350000,4,2.0,San Francisco,1940,1197,1908,19,1211,,Active,,,http://www.redfin.com/CA/San-Francisco/1215-Broadway-94109/home/2030319,San Francisco MLS,421580577,N,Y,37.796237,-122.4172583
MLS Listing,,Multi-Family (2-4 Unit),877 Hayes St,San Francisco,CA,94117,2150000,0,3.0,San Francisco,3300,3092,1900,19,652,,Active,,,http://www.redfin.com/CA/San-Francisco/877-Hayes-St-94117/home/577905,San Francisco MLS,421580695,N,Y,37.7757124,-122.4307493
MLS Listing,,Multi-Family (2-4 Unit),521 Waller St,San Francisco,CA,94117,2650000,6,3.0,San Francisco,4010,2419,1900,19,661,,Active,,,http://www.redfin.com/CA/San-Francisco/521-Waller-St-94117/home/579747,San Francisco MLS,421580698,N,Y,37.7706855,-122.4322815
MLS Listing,,Condo/Co-op,25 Sierra St Unit W102,San Francisco,CA,94107,507964,3,2.5,San Francisco,1782,48750,2006,20,285,917,Active,,,http://www.redfin.com/CA/San-Francisco/25-Sierra-St-94107/unit-W102/home/176125720,San Francisco MLS,421585276,N,Y,37.7581553,-122.3956945
MLS Listing,,Single Family Residential,284 Mallorca Way,San Francisco,CA,94123,2895000,4,3.5,San Francisco,2217,1502,1929,20,1306,,Active,,,http://www.redfin.com/CA/San-Francisco/284-Mallorca-Way-94123/home/2012557,BAREIS,421583885,N,Y,37.8036402,-122.4391376
